nome;clube;posicao;preco;variacao;ult_ponto;media;jogo;roubada_bola;gol;assistencia;jogo_sem_sofrer_gol;finalizacao_fora;finalizacao_fora;finalizacao_defendida;finalizacao_trave;defesa_dificil;defesa_penalti;gol_contra;cartao_vermelho;cartao_amarelo;penalti_perdido;gol_sofrido;falta_cometida;impedimento;passe_errado
Douglas Grolli;Chapecoense;Zagueiro;6.1;-0.62;-0.1;1.33;12;11;1;0;3;2;1;0;0;0;0;0;0;4;0;0;26;2;18
Edílson;Grêmio;Lateral;9.32;0;0;2.7;13;17;1;0;5;10;6;3;0;0;0;0;1;4;1;0;23;1;35
Edimar;São Paulo;Lateral;4.34;0.21;-0.9;2.43;8;13;0;0;1;13;1;3;0;0;0;0;0;2;0;0;9;0;31
Edson;Bahia;Meia;13.74;-0.16;5.4;4.29;10;23;1;1;0;9;7;1;0;0;0;0;1;1;0;0;11;2;20
Edu Dracena;Palmeiras;Zagueiro;8.32;-0.52;-0.4;3;12;9;0;0;4;17;4;2;0;0;0;0;0;1;0;0;15;2;7
Eduardo;Bahia;Lateral;6.13;-1.44;0.1;2.78;21;39;0;1;7;19;3;1;0;0;0;0;0;5;0;0;33;2;111
Eduardo Henrique;Atlético-PR;Meia;3.97;0.65;5.6;3.31;10;15;2;0;0;11;1;3;0;0;0;0;0;1;0;0;18;0;22
Elias;Atlético-MG;Meia;13.61;1.38;11;3.18;18;30;3;0;0;15;4;6;0;0;0;0;0;2;0;0;22;2;60
Elton;Ponte Preta;Meia;5.28;-0.22;-1.4;1.86;16;22;1;1;0;14;5;1;0;0;0;0;1;1;0;0;27;2;35
Emerson Sheik;Ponte Preta;Atacante;5.09;-2.5;-1.9;2.71;14;5;4;1;0;42;6;6;0;0;0;0;0;8;0;0;20;2;39
Everton;Grêmio;Atacante;10.18;0;0;4.43;18;10;5;2;0;10;11;10;1;0;0;0;0;1;0;0;10;1;20
Everton;Flamengo;Meia;13.42;-0.46;0.7;3.79;17;26;3;2;0;29;8;10;1;0;0;0;0;6;0;0;31;8;53
Everton Heleno;Atlético-GO;Meia;1.7;-0.27;-0.3;-0.03;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1
Ezequiel;Cruzeiro;Lateral;5.19;-1.56;0.1;2.63;10;13;0;1;3;11;3;1;0;0;0;0;0;4;0;0;20;0;21
Fabiano Soares;Atlético-PR;Técnico;9.86;-0.59;1.54;4.4;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fábio;Cruzeiro;Goleiro;11.84;-1.07;-2.3;3.69;21;0;0;0;9;2;0;0;0;23;0;0;0;0;0;17;1;0;11
Fábio Carille;Corinthians;Técnico;11.93;0.39;3.96;4.67;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fábio Santos;Atlético-MG;Lateral;3.41;-0.02;0;2.98;18;22;2;0;4;38;5;2;0;0;0;0;0;6;0;0;26;2;62
Fabrício;Atlético-PR;Lateral;4.49;-1.77;-1.6;5.12;5;11;0;0;3;4;1;1;0;0;0;0;0;1;0;0;9;1;16
Fabrício Bruno;Chapecoense;Zagueiro;2.61;-2.74;-3.3;1.57;9;8;1;0;2;7;0;1;0;0;0;0;0;5;0;0;16;0;13
Fagner;Corinthians;Lateral;13.18;0.46;5;5.55;17;30;0;2;11;28;3;1;1;0;0;0;0;4;0;0;18;2;81
Felipe Saraiva;Ponte Preta;Meia;1.77;0.13;3.2;1.55;9;3;0;0;0;12;2;7;0;0;0;0;0;0;0;0;7;0;7
Fernando Bob;Ponte Preta;Meia;8.56;0.2;4.3;2.77;10;27;0;0;0;13;1;0;0;0;0;0;0;2;0;0;22;1;33
Fernando Miguel;Vitória;Goleiro;12.87;1.18;14.7;3.89;20;0;0;0;7;3;0;0;0;33;1;0;0;2;0;28;0;0;16
Fernando Prass;Palmeiras;Goleiro;13.14;-1.76;-4;3.45;18;1;0;0;4;3;0;0;0;28;0;0;0;0;0;22;0;0;4
Gabriel;Corinthians;Meia;8.69;0.66;5.7;2.87;20;41;1;0;0;21;1;3;0;0;0;0;1;2;0;0;25;0;43
Gatito Fernández;Botafogo;Goleiro;19.52;-3.37;-2;6.17;15;0;0;0;6;3;0;0;0;26;3;0;0;1;0;17;0;0;7
